modlvl,est,se,df,p_val,cilo,cihi,resp,mod_code
grass,-0.2022095415381361,0.3702656495960902,12.797354263626815,0.5943764461583292,-1.0034093490867795,0.5989902660105073,den,cc_type2
non-grass,0.19014880431683148,0.36532778644628366,11.281996792924689,0.6127849468545685,-0.6114869084693728,0.9917845171030357,den,cc_type2
N,0.43110971722561464,0.39273071755232325,9.498777601393472,0.2993713820382253,-0.45024827452659866,1.3124677089778278,den,cropsys_tillage
Y,-0.653742706504135,0.46989904898074786,13.918121310702839,0.1859924315526136,-1.662132449385921,0.35464703637765105,den,cropsys_tillage
fall,2.4082690189498623,0.42316289887174646,10.51492694765205,1.661100050143037e-4,1.4716247058543015,3.344913332045423,den,msmt_season
spring,-0.4732786207575175,0.1933682039882672,8.403813687899607,0.03870493445152363,-0.9154843273812807,-0.031072914133754292,den,msmt_season
summer,-0.07761745187810476,0.1398651251672844,5.634646079844486,0.6002483844172166,-0.42530687800962086,0.27007197425341134,den,msmt_season
after,0.12171999470569393,0.29815974414170926,8.58683415699823,0.6930907031776224,-0.5577438591425684,0.8011838485539563,den,msmt_planting
before,-0.2658021759763689,0.3449064183032399,14.956994555565414,0.4529164867058939,-1.0011369494515785,0.4695325974988408,den,msmt_planting
perennial,0.32606233485196456,0.42420329607968743,21.66080971648962,0.450403200596168,-0.5544808686533997,1.2066055383573289,den,weed_group
summer annual,0.04901717943108935,0.3372849811184329,8.93391617392378,0.8876773326187448,-0.7148356421850302,0.812870001047209,den,weed_group
winter annual,-0.19662855717224992,0.37582081730026373,13.556577688415036,0.6092827900070817,-1.0051645719562154,0.6119074576117157,den,weed_group
D,-0.3171888641740678,0.6813235563220297,59.629957377651216,0.6432349328287921,-1.6802128617313676,1.0458351333832323,den,ccterm_meth
H,-0.005608537129425939,0.37492126066447945,8.506356247632684,0.9884096487009226,-0.8613017102812073,0.8500846360223553,den,ccterm_meth
M,-0.009331397556011367,0.45803597692236275,15.4713907040379,0.9840065432749209,-0.9830275709445089,0.964364775832486,den,ccterm_meth
none,0.2872859637765196,1.1297577334509308,7.6336506816047525,0.805986774585874,-2.3398642106461134,2.914436138199153,den,ccterm_meth
W,-0.11134760157797535,0.4581248228691535,16.9011756340429,0.8108913225725284,-1.0783371902738617,0.8556419871179111,den,ccterm_meth
corn,-0.137158414376511,0.23468799619870248,1.9430383659427393,0.6195874734212954,-1.1758444738615002,0.9015276451084782,den,crop_follow
corn/soy,2.408269018949854,0.5143959788536904,3.1655433578169583,0.016322040172788595,0.8186128672612953,3.9979251706384122,den,crop_follow
soybean,-0.22156616115537914,0.22311285567306627,3.1560763158302225,0.3905862790718614,-0.9121538171765426,0.4690214948657843,den,crop_follow
grass,-1.2156313941696062,0.31446678775736003,11.221901314089411,0.0025336379388151403,-1.9061019741180356,-0.5251608142211769,bio,cc_type2
non-grass,-0.213244868747837,0.3623941279838761,14.233009466015458,0.5654628500703434,-0.9893108941361802,0.5628211566405062,bio,cc_type2
N,-0.4616351032755583,0.31827281369617544,7.039378624873459,0.1899895139433428,-1.213378103458815,0.2901078969076984,bio,cropsys_tillage
Y,-1.5880164659920608,0.46459227297637307,9.415810375673644,0.007163215280629347,-2.631964695243245,-0.5440682367408765,bio,cropsys_tillage
spring,-1.4995892727689621,0.325812986678818,27.62731201941783,8.445910166377866e-5,-2.1673927604859364,-0.8317857850519879,bio,msmt_season
summer,-0.652655599097503,0.2242554799978901,6.3482242278092205,0.025282270865354325,-1.1941745748104595,-0.11113662338454644,bio,msmt_season
after,-0.6526555990975018,0.2242554799978903,6.348224227888978,0.02528227086499318,-1.1941745748089148,-0.11113662338608887,bio,msmt_planting
before,-1.4995892727689548,0.3258129866788173,27.62731203320303,8.44591015762399e-5,-2.167392760470705,-0.8317857850672046,bio,msmt_planting
perennial,-0.12974342266060906,0.4356057999619252,23.932564347510443,0.7683910646302852,-1.0289236837758207,0.7694368384546026,bio,weed_group
summer annual,-0.7705835682393187,0.2995804855216391,5.876009474491926,0.04300852768282083,-1.507396501185358,-0.033770635293279394,bio,weed_group
winter annual,-1.131096746705115,0.41927058709642306,20.582829654991972,0.013625388492998488,-2.0040949633941145,-0.25809853001611527,bio,weed_group
D,-1.4332745097442434,0.6999895316645641,88.82189307589249,0.04355631236397354,-2.8241772291513985,-0.04237179033708838,bio,ccterm_meth
H,-0.6531125593346434,0.3027431514501106,8.845064336462702,0.05984678520139029,-1.3397981803506385,0.03357306168135177,bio,ccterm_meth
M,-1.265312020155294,0.3685442329617426,15.767308918055845,0.00347392985305966,-2.047529012874401,-0.4830950274361874,bio,ccterm_meth
W,-0.5180619112478054,0.42673638516604323,24.191658240344445,0.23646325410650532,-1.3984334193708758,0.362309596875265,bio,ccterm_meth
corn,-0.5399946284552364,0.41671525625736083,7.985513921753377,0.23122973630349358,-1.5012452446716562,0.42125598776118334,bio,crop_follow
soybean,-1.0592548148445244,0.3612221902041456,8.299728576724888,0.018189695619485666,-1.887027533034931,-0.23148209665411767,bio,crop_follow
