obs_no,entered_by,study,pub_reference,pub_year,loc_citystate,loc_state,lat,long,exp_type,reps,MAP,MAT,aridity_index,OM_pct,soil_type,pH,cc_spec,cc_type,cropsys_tillage,cc_tillage,time,cc_pDATE,cc_pDATE_DOY,cc_pMNTH,cc_pMNTH2,cc_pDEN_kgha,cc_pMETH,cc_termDATE,cc_termMNTH,CC_termDATE_DOY,cc_termMETH,cc_termMETH2,crop_follow,crop_pDATE,crop_pMNTH,cc_bio_kgha,cc_bmSE,cc_wden_numm2,cc_wdenSE,ctl_wden_numm2,ctl_wdenSE,cc_wbio_gm2,cc_wbioSE,ctl_wbio_gm2,ctl_wbioSE,cc_yield_kgha,cc_yieldSE,ctl_yield_kgha,ctl_yieldSE,NOTES
1,GN,1,Davis (2010),2010,"Urbana, IL",IL,40.110588,-88.207268,split-split plot,4,1007,33.68,0.912,2.4,silt loam,7.2,rye,grass,N,N,summer,.,.,Sept,9,33,drilled,5/13/2005,May,133,herbicide,H,soybean,5/24/2005,.,7100,.,.,.,.,.,1652,.,2976,.,2072,.,2470,.,Unsure of where weed biomass data are taken from?
2,GN,1,Davis (2010),2010,"Urbana, IL",IL,40.110588,-88.207268,split-split plot,4,1007,33.68,0.912,2.4,silt loam,7.2,vetch,legume,N,N,summer,.,.,Sept,9,112,drilled,5/13/2005,May,134,herbicide,H,soybean,5/24/2005,.,3500,.,.,.,.,.,4361,.,2976,.,2075,.,2470,.,There is a Davis data set in dropbox maybe Gina reached out to Adam Davis?
3,GN,1,Davis (2010),2010,"Urbana, IL",IL,40.110588,-88.207268,split-split plot,4,1007,33.68,0.912,2.4,silt loam,7.2,rye,grass,N,N,summer,.,.,Sept,9,33,drilled,5/17/2005,May,137,roller crimper,M,soybean,5/24/2005,.,7100,.,.,.,.,.,1146,.,5198,.,2387,.,1854,.,Could pool over years or take last year
4,GN,1,Davis (2010),2010,"Urbana, IL",IL,40.110588,-88.207268,split-split plot,4,1007,33.68,0.912,2.4,silt loam,7.2,vetch,legume,N,N,summer,.,.,Sept,9,112,drilled,5/17/2005,May,137,roller crimper,M,soybean,5/24/2005,.,3500,.,.,.,.,.,2766,.,5198,.,391,.,1854,.,
5,GN,1,Davis (2010),2010,"Urbana, IL",IL,40.110588,-88.207268,split-split plot,4,1007,33.68,0.912,2.4,silt loam,7.2,rye,grass,N,N,summer,.,.,Sept,9,33,drilled,5/12/2006,May,132,herbicide,H,soybean,6/2/2006,.,6000,.,.,.,.,.,403,.,1609,.,3361,.,3372,.,
6,GN,1,Davis (2010),2010,"Urbana, IL",IL,40.110588,-88.207268,split-split plot,4,1007,33.68,0.912,2.4,silt loam,7.2,vetch,legume,N,N,summer,.,.,Sept,9,112,drilled,5/12/2006,May,132,herbicide,H,soybean,6/2/2006,.,6200,.,.,.,.,.,2423,.,1609,.,2790,.,3372,.,intro states that investigating weed control w/ ccs is an explicit goal of study
7,GN,1,Davis (2010),2010,"Urbana, IL",IL,40.110588,-88.207268,split-split plot,4,1007,33.68,0.912,2.4,silt loam,7.2,rye,grass,N,N,summer,.,.,Sept,9,33,drilled,5/22/2006,May,142,roller crimper,M,soybean,6/2/2006,.,6000,.,.,.,.,.,291,.,1714,.,2990,.,2300,.,they had to plant weeds before this study - foxtail and waterhemp
8,GN,1,Davis (2010),2010,"Urbana, IL",IL,40.110588,-88.207268,split-split plot,4,1007,33.68,0.912,2.4,silt loam,7.2,vetch,legume,N,N,summer,.,.,Sept,9,112,drilled,5/22/2006,May,142,roller crimper,M,soybean,6/2/2006,.,6200,.,.,.,.,.,2388,.,1714,.,2838,.,2300,.,
9,GN,1,Davis (2010),2010,"Urbana, IL",IL,40.110588,-88.207268,split-split plot,4,1007,33.68,0.912,2.4,silt loam,7.2,rye,grass,N,N,summer,.,.,Sept,9,33,drilled,5/11/2007,May,131,herbicide,H,soybean,5/29/2007,.,6000,.,.,.,.,.,2860,.,2113,.,2304,.,2011,.,
10,GN,1,Davis (2010),2010,"Urbana, IL",IL,40.110588,-88.207268,split-split plot,4,1007,33.68,0.912,2.4,silt loam,7.2,vetch,legume,N,N,summer,.,.,Sept,9,112,drilled,5/11/2007,May,131,herbicide,H,soybean,5/29/2007,.,6300,.,.,.,.,.,2857,.,2113,.,1962,.,2011,.,
