obs_no,study,pub_reference,loc_citystate,lat,long,spec,type,term_meth,bio_kgha,plant_y,plant_mo,plant_mday,term_y,term_mo,term_mday
1,1,Davis (2010),"Urbana, IL",40.110588,-88.207268,rye,grass,herbicide,7100,NA,9,NA,NA,5,13
2,1,Davis (2010),"Urbana, IL",40.110588,-88.207268,vetch,legume,herbicide,3500,NA,9,NA,NA,5,13
3,1,Davis (2010),"Urbana, IL",40.110588,-88.207268,rye,grass,roller crimper,7100,NA,9,NA,NA,5,17
4,1,Davis (2010),"Urbana, IL",40.110588,-88.207268,vetch,legume,roller crimper,3500,NA,9,NA,NA,5,17
5,1,Davis (2010),"Urbana, IL",40.110588,-88.207268,rye,grass,herbicide,6000,NA,9,NA,NA,5,12
6,1,Davis (2010),"Urbana, IL",40.110588,-88.207268,vetch,legume,herbicide,6200,NA,9,NA,NA,5,12
7,1,Davis (2010),"Urbana, IL",40.110588,-88.207268,rye,grass,roller crimper,6000,NA,9,NA,NA,5,22
8,1,Davis (2010),"Urbana, IL",40.110588,-88.207268,vetch,legume,roller crimper,6200,NA,9,NA,NA,5,22
9,1,Davis (2010),"Urbana, IL",40.110588,-88.207268,rye,grass,herbicide,6000,NA,9,NA,NA,5,11
10,1,Davis (2010),"Urbana, IL",40.110588,-88.207268,vetch,legume,herbicide,6300,NA,9,NA,NA,5,11
11,1,Davis (2010),"Urbana, IL",40.110588,-88.207268,rye,grass,roller crimper,6000,NA,9,NA,NA,5,22
12,1,Davis (2010),"Urbana, IL",40.110588,-88.207268,vetch,legume,roller crimper,6300,NA,9,NA,NA,5,22
13,2,Bernstein et al. (2011),"Arlington, WI",43.3375,-89.37376,cereal rye,grass,mowed,939,NA,10,NA,NA,6,NA
14,2,Bernstein et al. (2011),"Arlington, WI",43.3375,-89.37376,cereal rye,grass,roller crimper,604,NA,10,NA,NA,6,NA
15,2,Bernstein et al. (2011),"Arlington, WI",43.3375,-89.37376,cereal rye,grass,mowed,1212,NA,10,NA,NA,6,NA
16,2,Bernstein et al. (2011),"Arlington, WI",43.3375,-89.37376,cereal rye,grass,roller crimper,186,NA,10,NA,NA,6,NA
17,2,Bernstein et al. (2011),"Arlington, WI",43.3375,-89.37376,cereal rye,grass,mowed,345,NA,10,NA,NA,6,NA
18,3,"De Bruin et al., 2005","Waseca, MN",44.0770411,-93.50838429,cereal rye,grass,herbicide 2x,375,NA,10,18,NA,5,1
19,3,"De Bruin et al., 2005","Waseca, MN",44.0770411,-93.50838429,cereal rye,grass,herbicide 2x,851,NA,10,18,NA,5,8
20,3,"De Bruin et al., 2005","Waseca, MN",44.0770411,-93.50838429,cereal rye,grass,herbicide 2x,2185,NA,10,18,NA,5,20
21,3,"De Bruin et al., 2005","Waseca, MN",44.0770411,-93.50838429,cereal rye,grass,herbicide 1x,375,NA,10,18,NA,5,1
22,3,"De Bruin et al., 2005","Waseca, MN",44.0770411,-93.50838429,cereal rye,grass,herbicide 1x,851,NA,10,18,NA,5,8
23,3,"De Bruin et al., 2005","Waseca, MN",44.0770411,-93.50838429,cereal rye,grass,herbicide 1x,2185,NA,10,18,NA,5,20
24,3,"De Bruin et al., 2005","Waseca, MN",44.0770411,-93.50838429,cereal rye,grass,herbicide  1x + mowing,375,NA,10,18,NA,5,1
25,3,"De Bruin et al., 2005","Waseca, MN",44.0770411,-93.50838429,cereal rye,grass,herbicide  1x + mowing,851,NA,10,18,NA,5,8
26,3,"De Bruin et al., 2005","Waseca, MN",44.0770411,-93.50838429,cereal rye,grass,herbicide  1x + mowing,2185,NA,10,18,NA,5,20
27,3,"De Bruin et al., 2005","Waseca, MN",44.0770411,-93.50838429,cereal rye,grass,herbicide 2x,3768,NA,10,18,NA,5,28
28,4,"Fisk et al., 2001","East Landsing, MI",42.4056,-85.4008,santiago medic,legume,winter kill,3100,NA,8,NA,NA,NA,NA
29,4,"Fisk et al., 2001","East Landsing, MI",42.4056,-85.4008,mogul medic,legume,winter kill,5300,NA,8,NA,NA,NA,NA
30,4,"Fisk et al., 2001","East Landsing, MI",42.4056,-85.4008,red clover,legume,winter kill,4100,NA,8,NA,NA,NA,NA
31,4,"Fisk et al., 2001","East Landsing, MI",42.4056,-85.4008,berseem clover,legume,herbicide,1900,NA,8,NA,NA,NA,NA
32,4,"Fisk et al., 2001","East Landsing, MI",42.4056,-85.4008,santiago medic,legume,winter kill,2200,NA,8,NA,NA,NA,NA
33,4,"Fisk et al., 2001","East Landsing, MI",42.4056,-85.4008,mogul medic,legume,winter kill,1800,NA,8,NA,NA,NA,NA
34,4,"Fisk et al., 2001","East Landsing, MI",42.4056,-85.4008,red clover,legume,winter kill,1300,NA,8,NA,NA,NA,NA
35,4,"Fisk et al., 2001","East Landsing, MI",42.4056,-85.4008,berseem clover,legume,herbicide,NA,NA,8,NA,NA,NA,NA
36,4,"Fisk et al., 2001","Hickory Corners, MI",42.441427,-85.375561,santiago medic,legume,winter kill,2000,NA,8,NA,NA,NA,NA
37,4,"Fisk et al., 2001","Hickory Corners, MI",42.441427,-85.375561,mogul medic,legume,winter kill,2300,NA,8,NA,NA,NA,NA
38,4,"Fisk et al., 2001","Hickory Corners, MI",42.441427,-85.375561,red clover,legume,winter kill,2200,NA,8,NA,NA,NA,NA
39,4,"Fisk et al., 2001","Hickory Corners, MI",42.441427,-85.375561,berseem clover,legume,herbicide,1400,NA,8,NA,NA,NA,NA
40,4,"Fisk et al., 2001","Hickory Corners, MI",42.441427,-85.375561,santiago medic,legume,winter kill,2800,NA,8,NA,NA,NA,NA
41,4,"Fisk et al., 2001","Hickory Corners, MI",42.441427,-85.375561,mogul medic,legume,winter kill,2400,NA,8,NA,NA,NA,NA
42,4,"Fisk et al., 2001","Hickory Corners, MI",42.441427,-85.375561,red clover,legume,winter kill,1600,NA,8,NA,NA,NA,NA
43,4,"Fisk et al., 2001","Hickory Corners, MI",42.441427,-85.375561,berseem clover,legume,herbicide,1700,NA,8,NA,NA,NA,NA
44,4,"Fisk et al., 2001","East Landsing, MI",42.4056,-85.4008,santiago medic,legume,winter kill,3100,NA,8,NA,NA,NA,NA
45,4,"Fisk et al., 2001","East Landsing, MI",42.4056,-85.4008,mogul medic,legume,winter kill,5300,NA,8,NA,NA,NA,NA
46,4,"Fisk et al., 2001","East Landsing, MI",42.4056,-85.4008,red clover,legume,winter kill,4100,NA,8,NA,NA,NA,NA
47,4,"Fisk et al., 2001","East Landsing, MI",42.4056,-85.4008,berseem clover,legume,herbicide,1900,NA,8,NA,NA,NA,NA
48,4,"Fisk et al., 2001","East Landsing, MI",42.4056,-85.4008,santiago medic,legume,winter kill,2200,NA,8,NA,NA,NA,NA
49,4,"Fisk et al., 2001","East Landsing, MI",42.4056,-85.4008,mogul medic,legume,winter kill,1800,NA,8,NA,NA,NA,NA
50,4,"Fisk et al., 2001","East Landsing, MI",42.4056,-85.4008,red clover,legume,winter kill,1300,NA,8,NA,NA,NA,NA
51,4,"Fisk et al., 2001","East Landsing, MI",42.4056,-85.4008,berseem clover,legume,herbicide,NA,NA,8,NA,NA,NA,NA
52,4,"Fisk et al., 2001","Hickory Corners, MI",42.441427,-85.375561,santiago medic,legume,winter kill,2000,NA,8,NA,NA,NA,NA
53,4,"Fisk et al., 2001","Hickory Corners, MI",42.441427,-85.375561,mogul medic,legume,winter kill,2300,NA,8,NA,NA,NA,NA
54,4,"Fisk et al., 2001","Hickory Corners, MI",42.441427,-85.375561,red clover,legume,winter kill,2200,NA,8,NA,NA,NA,NA
55,4,"Fisk et al., 2001","Hickory Corners, MI",42.441427,-85.375561,berseem clover,legume,herbicide,1400,NA,8,NA,NA,NA,NA
56,4,"Fisk et al., 2001","Hickory Corners, MI",42.441427,-85.375561,santiago medic,legume,winter kill,2800,NA,8,NA,NA,NA,NA
57,4,"Fisk et al., 2001","Hickory Corners, MI",42.441427,-85.375561,mogul medic,legume,winter kill,2400,NA,8,NA,NA,NA,NA
58,4,"Fisk et al., 2001","Hickory Corners, MI",42.441427,-85.375561,red clover,legume,winter kill,1600,NA,8,NA,NA,NA,NA
59,4,"Fisk et al., 2001","Hickory Corners, MI",42.441427,-85.375561,berseem clover,legume,herbicide,1700,NA,8,NA,NA,NA,NA
60,4,"Fisk et al., 2001","East Landsing, MI",42.4056,-85.4008,santiago medic,legume,winter kill,3100,NA,8,NA,NA,NA,NA
61,4,"Fisk et al., 2001","East Landsing, MI",42.4056,-85.4008,mogul medic,legume,winter kill,5300,NA,8,NA,NA,NA,NA
62,4,"Fisk et al., 2001","East Landsing, MI",42.4056,-85.4008,red clover,legume,winter kill,4100,NA,8,NA,NA,NA,NA
63,4,"Fisk et al., 2001","East Landsing, MI",42.4056,-85.4008,berseem clover,legume,herbicide,1900,NA,8,NA,NA,NA,NA
64,4,"Fisk et al., 2001","East Landsing, MI",42.4056,-85.4008,santiago medic,legume,winter kill,2200,NA,8,NA,NA,NA,NA
65,4,"Fisk et al., 2001","East Landsing, MI",42.4056,-85.4008,mogul medic,legume,winter kill,1800,NA,8,NA,NA,NA,NA
66,4,"Fisk et al., 2001","East Landsing, MI",42.4056,-85.4008,red clover,legume,winter kill,1300,NA,8,NA,NA,NA,NA
67,4,"Fisk et al., 2001","East Landsing, MI",42.4056,-85.4008,berseem clover,legume,herbicide,NA,NA,8,NA,NA,NA,NA
68,4,"Fisk et al., 2001","Hickory Corners, MI",42.441427,-85.375561,santiago medic,legume,winter kill,2000,NA,8,NA,NA,NA,NA
69,4,"Fisk et al., 2001","Hickory Corners, MI",42.441427,-85.375561,mogul medic,legume,winter kill,2300,NA,8,NA,NA,NA,NA
70,4,"Fisk et al., 2001","Hickory Corners, MI",42.441427,-85.375561,red clover,legume,winter kill,2200,NA,8,NA,NA,NA,NA
71,4,"Fisk et al., 2001","Hickory Corners, MI",42.441427,-85.375561,berseem clover,legume,herbicide,1400,NA,8,NA,NA,NA,NA
72,4,"Fisk et al., 2001","Hickory Corners, MI",42.441427,-85.375561,santiago medic,legume,winter kill,2800,NA,8,NA,NA,NA,NA
73,4,"Fisk et al., 2001","Hickory Corners, MI",42.441427,-85.375561,mogul medic,legume,winter kill,2400,NA,8,NA,NA,NA,NA
74,4,"Fisk et al., 2001","Hickory Corners, MI",42.441427,-85.375561,red clover,legume,winter kill,1600,NA,8,NA,NA,NA,NA
75,4,"Fisk et al., 2001","Hickory Corners, MI",42.441427,-85.375561,berseem clover,legume,herbicide,1700,NA,8,NA,NA,NA,NA
76,5,Forcella 2013,"Stevens County, MN",45.68333333,-95.8,rye,grass,roller crimper,6000,NA,9,2,NA,6,11
77,5,Forcella 2013,"Stevens County, MN",45.68333333,-95.8,rye,grass,roller crimper,6000,NA,9,20,NA,6,14
78,6,Delate et al. 2012,Greenfield IA,41.30317,-94.45955,winter wheat / Austrian winter pea,mix,roller crimper,NA,NA,10,31,NA,5,25
79,6,Delate et al. 2012,Greenfield IA,41.30317,-94.45955,rye / vetch,mix,roller crimper,NA,NA,10,31,NA,5,25
80,6,Delate et al. 2012,Greenfield IA,41.30317,-94.45955,winter wheat / Austrian winter pea,mix,roller crimper,NA,NA,10,31,NA,5,25
81,6,Delate et al. 2012,Greenfield IA,41.30317,-94.45955,rye / vetch,mix,roller crimper,NA,NA,10,31,NA,5,25
82,7,"Gallagher et al., 2003","Wooster, OH",40.8051,-81.9351,wheat,grass,herbicide,3400,NA,9,NA,NA,NA,NA
83,7,"Gallagher et al., 2003","Wooster, OH",40.8051,-81.9351,wheat,grass,herbicide,3500,NA,9,NA,NA,NA,NA
84,7,"Gallagher et al., 2003","Wooster, OH",40.8051,-81.9351,vetch,legume,herbicide,4500,NA,8,NA,NA,NA,NA
85,7,"Gallagher et al., 2003","Wooster, OH",40.8051,-81.9351,vetch,legume,herbicide,4100,NA,8,NA,NA,NA,NA
86,8,"Gieske et al., 2016","Lamberton, MN",45.25,-95.2647,radish,brassica,none,3831,NA,8,18,NA,NA,NA
87,8,"Gieske et al., 2016","Lamberton, MN",45.25,-95.2647,radish,brassica,none,3019,NA,8,23,NA,NA,NA
88,8,"Gieske et al., 2016","Rosemount, MN",44.72,-93.11223,radish,brassica,none,2612,NA,8,19,NA,NA,NA
89,8,"Gieske et al., 2016","Rosemount, MN",44.72,-93.11223,radish,brassica,none,2767,NA,8,19,NA,NA,NA
90,9,Hoffman et al. 1993,"Columbus, OH",39.9612,-82.9988,hairy vetch,legume,rolling,8130,NA,8,28,NA,4,27
91,9,Hoffman et al. 1993,"Columbus, OH",39.9612,-82.9988,hairy vetch,legume,mowing,5430,NA,8,28,NA,4,27
92,9,Hoffman et al. 1993,"Columbus, OH",39.9612,-82.9988,hairy vetch,legume,herbicide,3410,NA,8,28,NA,5,24
93,9,Hoffman et al. 1993,"Columbus, OH",39.9612,-82.9988,hairy vetch,legume,rolling,4830,NA,8,28,NA,5,24
94,9,Hoffman et al. 1993,"Columbus, OH",39.9612,-82.9988,hairy vetch,legume,mowing,3510,NA,8,28,NA,5,24
95,9,Hoffman et al. 1993,"Columbus, OH",39.9612,-82.9988,hairy vetch,legume,herbicide,3180,NA,8,28,NA,6,18
96,9,Hoffman et al. 1993,"Columbus, OH",39.9612,-82.9988,hairy vetch,legume,rolling,4960,NA,8,28,NA,6,18
97,9,Hoffman et al. 1993,"Columbus, OH",39.9612,-82.9988,hairy vetch,legume,mowing,6470,NA,8,28,NA,6,18
98,9,Hoffman et al. 1993,"Columbus, OH",39.9612,-82.9988,hairy vetch,legume,herbicide,4680,NA,8,28,NA,4,30
99,9,Hoffman et al. 1993,"Columbus, OH",39.9612,-82.9988,hairy vetch,legume,rolling,4320,NA,8,28,NA,4,30
100,9,Hoffman et al. 1993,"Columbus, OH",39.9612,-82.9988,hairy vetch,legume,chopping,3750,NA,8,28,NA,4,30
101,9,Hoffman et al. 1993,"Columbus, OH",39.9612,-82.9988,hairy vetch,legume,mowing,2940,NA,8,28,NA,4,30
102,9,Hoffman et al. 1993,"Columbus, OH",39.9612,-82.9988,hairy vetch,legume,herbicide,1960,NA,8,28,NA,5,16
103,9,Hoffman et al. 1993,"Columbus, OH",39.9612,-82.9988,hairy vetch,legume,rolling,3180,NA,8,28,NA,5,16
104,9,Hoffman et al. 1993,"Columbus, OH",39.9612,-82.9988,hairy vetch,legume,chopping,3360,NA,8,28,NA,5,16
105,9,Hoffman et al. 1993,"Columbus, OH",39.9612,-82.9988,hairy vetch,legume,mowing,2250,NA,8,28,NA,5,16
106,9,Hoffman et al. 1993,"Columbus, OH",39.9612,-82.9988,hairy vetch,legume,herbicide,3620,NA,8,28,NA,6,5
107,9,Hoffman et al. 1993,"Columbus, OH",39.9612,-82.9988,hairy vetch,legume,rolling,3640,NA,8,28,NA,6,5
108,9,Hoffman et al. 1993,"Columbus, OH",39.9612,-82.9988,hairy vetch,legume,chopping,3290,NA,8,28,NA,6,5
109,9,Hoffman et al. 1993,"Columbus, OH",39.9612,-82.9988,hairy vetch,legume,mowing,3130,NA,8,28,NA,6,5
110,9,Hoffman et al. 1993,"Columbus, OH",39.9612,-82.9988,hairy vetch,legume,herbicide,3720,NA,8,28,NA,6,6
111,10,"Mock et al., 2012","West Lafayette, IN",40.4259,-86.9081,winter wheat,grass,herbicide,NA,NA,10,NA,NA,5,1
112,10,"Mock et al., 2012","West Lafayette, IN",40.4259,-86.9081,rye grass,grass,herbicide,NA,NA,10,NA,NA,5,2
113,10,"Mock et al., 2012","Vincennes, IN",38.6773,-87.5286,winter wheat,grass,herbicide,NA,NA,10,NA,NA,5,3
114,10,"Mock et al., 2012","Vincennes, IN",38.6773,-87.5286,rye grass,grass,herbicide,NA,NA,10,NA,NA,5,4
115,11,"Werle et al., 2017","North Platte, NE",41.132511,-100.763969,rye,grass,herbicide,3766,NA,10,17,NA,4,18
116,11,"Werle et al., 2017","North Platte, NE",41.132511,-100.763969,rye,grass,herbicide,4081,NA,9,20,NA,4,18
117,12,"Crawford et al., 2018","Urbana, IL",40.076623,-88.239866,radish,brassica,winterkill,438,NA,NA,NA,NA,NA,NA
