obs_no,study,pub_reference,pub_year,loc_citystate,lat,long,exp_type,reps,aridity_index,om_pct,soil_type,ph,cropsys_tillage,msmt_season,msmt_planting,weed_group,cc_spec,cc_type,cc_plmo,cc_plmo2,cc_pldom,cc_plden_kgha,cc_plmeth,cc_termmo,cc_termmo2,cc_termdom,cc_termmeth,cc_termmeth2,crop_follow,crop_plmo,crop_plmo2,crop_pldom,cc_biomass_kgha,cc_biomass_se,cc_wden_se,cc_wden_se,ctl_wden,ctl_wden_se,cc_wbio,cc_wbio_se,ctl_wbio,ctl_wbio_se,cc_cropyield_kgha,cc_cropyield_se,ctl_cropyield_kgha,ctl_cropyield_se
1,1,Davis (2010),2010,"UrbaNR, IL",40.110588,-88.207268,split-split plot,4,0.912,2.4,silt loam,7.2,N,summer,after,summer annual,rye,grass,Sep,9,NR,33,drilled,May,5,13,herbicide,H,soybean,May,5,24,7100,NR,NR,NR,NR,NR,1652,NR,2976,NR,2072,NR,2470,NR
2,1,Davis (2010),2010,"UrbaNR, IL",40.110588,-88.207268,split-split plot,4,0.912,2.4,silt loam,7.2,N,summer,after,summer annual,vetch,legume,Sep,9,NR,112,drilled,May,5,13,herbicide,H,soybean,May,5,24,3500,NR,NR,NR,NR,NR,4361,NR,2976,NR,2075,NR,2470,NR
3,1,Davis (2010),2010,"UrbaNR, IL",40.110588,-88.207268,split-split plot,4,0.912,2.4,silt loam,7.2,N,summer,after,summer annual,rye,grass,Sep,9,NR,33,drilled,May,5,17,roller crimper,M,soybean,May,5,24,7100,NR,NR,NR,NR,NR,1146,NR,5198,NR,2387,NR,1854,NR
4,1,Davis (2010),2010,"UrbaNR, IL",40.110588,-88.207268,split-split plot,4,0.912,2.4,silt loam,7.2,N,summer,after,summer annual,vetch,legume,Sep,9,NR,112,drilled,May,5,17,roller crimper,M,soybean,May,5,24,3500,NR,NR,NR,NR,NR,2766,NR,5198,NR,391,NR,1854,NR
5,1,Davis (2010),2010,"UrbaNR, IL",40.110588,-88.207268,split-split plot,4,0.912,2.4,silt loam,7.2,N,summer,after,summer annual,rye,grass,Sep,9,NR,33,drilled,May,5,12,herbicide,H,soybean,Jun,6,2,6000,NR,NR,NR,NR,NR,403,NR,1609,NR,3361,NR,3372,NR
6,1,Davis (2010),2010,"UrbaNR, IL",40.110588,-88.207268,split-split plot,4,0.912,2.4,silt loam,7.2,N,summer,after,summer annual,vetch,legume,Sep,9,NR,112,drilled,May,5,12,herbicide,H,soybean,Jun,6,2,6200,NR,NR,NR,NR,NR,2423,NR,1609,NR,2790,NR,3372,NR
7,1,Davis (2010),2010,"UrbaNR, IL",40.110588,-88.207268,split-split plot,4,0.912,2.4,silt loam,7.2,N,summer,after,summer annual,rye,grass,Sep,9,NR,33,drilled,May,5,22,roller crimper,M,soybean,Jun,6,2,6000,NR,NR,NR,NR,NR,291,NR,1714,NR,2990,NR,2300,NR
8,1,Davis (2010),2010,"UrbaNR, IL",40.110588,-88.207268,split-split plot,4,0.912,2.4,silt loam,7.2,N,summer,after,summer annual,vetch,legume,Sep,9,NR,112,drilled,May,5,22,roller crimper,M,soybean,Jun,6,2,6200,NR,NR,NR,NR,NR,2388,NR,1714,NR,2838,NR,2300,NR
9,1,Davis (2010),2010,"UrbaNR, IL",40.110588,-88.207268,split-split plot,4,0.912,2.4,silt loam,7.2,N,summer,after,summer annual,rye,grass,Sep,9,NR,33,drilled,May,5,11,herbicide,H,soybean,May,5,29,6000,NR,NR,NR,NR,NR,2860,NR,2113,NR,2304,NR,2011,NR
10,1,Davis (2010),2010,"UrbaNR, IL",40.110588,-88.207268,split-split plot,4,0.912,2.4,silt loam,7.2,N,summer,after,summer annual,vetch,legume,Sep,9,NR,112,drilled,May,5,11,herbicide,H,soybean,May,5,29,6300,NR,NR,NR,NR,NR,2857,NR,2113,NR,1962,NR,2011,NR
11,1,Davis (2010),2010,"UrbaNR, IL",40.110588,-88.207268,split-split plot,4,0.912,2.4,silt loam,7.2,N,summer,after,summer annual,rye,grass,Sep,9,NR,33,drilled,May,5,22,roller crimper,M,soybean,May,5,29,6000,NR,NR,NR,NR,NR,761,NR,4250,NR,1660,NR,1266,NR
12,1,Davis (2010),2010,"UrbaNR, IL",40.110588,-88.207268,split-split plot,4,0.912,2.4,silt loam,7.2,N,summer,after,summer annual,vetch,legume,Sep,9,NR,112,drilled,May,5,22,roller crimper,M,soybean,May,5,29,6300,NR,NR,NR,NR,NR,1998,NR,4250,NR,1767,NR,1266,NR
13,2,Bernstein et al. (2011),2011,"Arlington, WI",43.3375,-89.37376,RCBD,4,0.8539,4.15,silt loam,6.35,Y,summer,after,NR,cereal rye,grass,Oct,10,NR,180,drilled,Jun,6,NR,mowed,M,soybean,May,5,NR,939,NR,NR,NR,NR,NR,5,NR,26,NR,2505,NR,3618,NR
14,2,Bernstein et al. (2011),2011,"Arlington, WI",43.3375,-89.37376,RCBD,4,0.8539,4.15,silt loam,6.35,Y,summer,after,NR,cereal rye,grass,Oct,10,NR,180,drilled,Jun,6,NR,roller crimper,M,soybean,May,5,NR,604,NR,NR,NR,NR,NR,7,NR,26,NR,2885,NR,3618,NR
15,2,Bernstein et al. (2011),2011,"Arlington, WI",43.3375,-89.37376,RCBD,4,0.8539,4.15,silt loam,6.35,Y,summer,after,NR,cereal rye,grass,Oct,10,NR,180,drilled,Jun,6,NR,mowed,M,soybean,May,5,NR,1212,NR,NR,NR,NR,NR,5,NR,26,NR,2944,NR,3618,NR
